Hour,LoadCurve,W14Forecast,W14Obs,S1006Forecast,S1006Obs,S2014Forecast,S2014Obs
1,0.65,0.93,0.97,0,0,0,0
2,0.63,0.95,0.98,0,0,0,0
3,0.63,0.94,0.97,0,0,0,0
4,0.63,0.97,0.98,0,0,0,0
5,0.65,0.96,0.97,0,0,0,0
6,0.7,0.95,0.92,0,0,0,0
7,0.8,0.95,0.88,0,0,0,0
8,0.91,0.94,0.91,0,0.01,0,0.01
9,0.96,0.86,0.91,0.11,0.14,0.11,0.13
10,0.98,0.77,0.96,0.07,0.36,0.26,0.26
11,1,0.73,0.84,0.11,0.55,0.49,0.42
12,1,0.83,0.68,0.28,0.7,0.66,0.57
13,0.97,0.88,0.54,0.34,0.82,0.77,0.64
14,0.98,0.75,0.54,0.37,0.89,0.82,0.68
15,0.96,0.76,0.61,0.74,0.91,0.82,0.69
16,0.93,0.78,0.54,0.72,0.89,0.77,0.68
17,0.9,0.81,0.54,0.69,0.81,0.65,0.64
18,0.94,0.91,0.51,0.56,0.66,0.55,0.53
19,0.9,0.91,0.54,0.44,0.52,0.44,0.41
20,0.85,0.93,0.71,0.23,0.27,0.26,0.22
21,0.82,0.89,0.79,0.02,0.09,0.06,0.08
22,0.82,0.95,0.83,0,0.02,0,0.01
23,0.77,0.94,0.82,0,0,0,0
24,0.7,0.91,0.88,0,0,0,0
